,,,,,Feed,,,Feed,,,Feed,,,Feed,,,Feed,,,Feed,,,Feed,,,Feed,,,Feed,,,Feed,,,Feed,,,Feed,,,Feed,,,Feed,,,Feed,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,
MOATS,JAR,6/8/16,6/9/16,6/10/16,6/11/16,6/12/16,6/13/16,6/14/16,6/15/16,6/16/16,6/17/16,6/18/16,6/19/16,6/20/16,6/21/16,6/22/16,6/23/16,6/24/16,6/25/16,6/26/16,6/27/16,6/28/16,6/29/16,6/30/16,7/1/16,7/2/16,7/3/16,7/4/16,7/5/16,7/6/16,7/7/16,7/8/16,7/9/16,7/10/16,7/11/16,7/12/16,7/13/16,7/14/16,7/15/16,7/16/16,7/17/16,7/18/16,7/19/16,7/20/16,7/21/16,7/22/16,7/23/16,7/24/16,7/25/16,7/26/16,7/27/16,7/28/16,7/29/16,7/30/16,7/31/16,8/1/16,8/2/16,8/3/16,8/4/16,8/5/16,8/6/16,8/7/16,8/8/16,8/9/16,8/10/16,8/11/16,8/12/16,8/13/16,8/14/16,8/15/16,8/16/16,8/17/16,8/18/16,8/19/16,8/20/16,8/21/16,8/22/16,8/23/16,8/24/16,8/25/16,8/26/16,8/27/16,8/28/16,8/29/16,8/30/16,8/31/16,9/1/16,9/2/16,9/3/16,9/4/16,9/5/16,9/6/16,9/7/16,9/8/16,9/9/16,9/10/16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7,C1,M1,m,m,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---
M7,C2,M1,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,M1,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M7,C3,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M7,C4,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M7,C5,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---
M7,C6,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M7,C7,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7,D1,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---
M7,D2,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---
M7,D3,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M7,D4,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---
M7,D5,R,R,R,---,---,---,R,R,R,---,---,---,R,R,R,R,R,---,---,---,---,---,---,---,---,---,---,R,R,---,---,---,---,R,R,---,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M7,D6,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---
M7,D7,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,A1,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE/M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,A2,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,M1,m,m,Not Dung.,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---
M8,A3,R,R,---,---,---,---,---,---,---,R,R,R,R,R,R,R,R,---,---,---,---,---,---,---,---,---,---,R,R,---,---,---,---,R,R,---,---,---,---,---,---,---,---,R,R,---,---,---,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,A4,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,A5,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,M1,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,A6,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,A7,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,B1,M1,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE/M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,B2,M1,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,B3,R,R,---,---,---,---,---,---,---,R,R,R,R,R,R,R,R,R,R,R,R,---,---,---,---,---,---,R,R,---,---,---,---,R,R,---,---,---,---,---,---,R,R,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,B4,R,R,R,---,---,---,---,---,---,R,R,R,R,R,R,R,R,---,---,---,---,---,---,---,---,---,---,R,R,---,---,---,---,R,R,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,B5,M1,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,B6,M1,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,B7,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,C1,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,C2,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,C3,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,C4,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,C5,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,dead,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,C6,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,C7,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,D1,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,D2,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---
M8,D3,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,M1,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,D4,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,1J,1J,1J,dead,---,---,---,---,---,M1,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M8,D5,R,R,---,---,---,---,---,---,---,---,---,---,R,R,R,R,R,R,R,R,R,---,---,---,---,---,---,R,R,---,---,---,---,R,R,---,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---
M8,D6,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,M1,m,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---
M8,D7,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,M1,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9,A1,R,R,---,---,---,---,---,---,---,R,R,R,R,R,R,R,R,---,---,---,---,---,---,---,---,---,---,R,R,---,---,---,---,R,R,---,---,---,---,---,---,R,R,R,R,---,---,---,M1,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---
M9,A2,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M9,A3,M1,m,m,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,dead,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M9,A4,M1,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,M1,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M9,A5,M1,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,M1,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M9,A6,M1,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M9,A7,---,---,---,---,---,---,---,---,---,---,---,---,M1,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9,B1,M1,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,dead,M1,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M9,B2,M1,m,m,m,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
M9,B3,M1,m,m,m,m,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,M1,m,m,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,1J,2J,2J,FREEZE,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
